1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Ground-Top,Switch,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Right Leg Kick,No Data,Crosses,Right Straight to Head,No Data,0,2.2,4%,0,UFC,0,2.6,0,8,0,0,70%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3922557.png,82.6%,72.4%,27,0,0.6,0.7,0.4,0.7,0,0.3%,0,60%,0.0%,1.3%,0.0%,15.8%,0.0%,3.4%,0.0%,1.7%,0.3%,0,26%,0,67,1,0,10,28,25,1,16,4,29.0%,41.8%,21,1.5,5.2,3-2,1-0,1-0,0.0%,0,40%,0.0%,1.7%,0.3%,1.7%,0.0%,9.1%,0.3%,7.4%,0.0%,51%,50.9%,28%,27.5%,12%,12.4%,4%,4.4%,5%,4.7%,18,1.1,0,0,0,0,1,0,1,0,50.4%,54.8%,48,4.6,9.1,0,0.7,1,0,0.7,0,0,0,10,6,0,2,0,73%,34.8%,,0,0,0.4,1.1,0.8,0,1.1,1,0,0,0.7%,1.3%,0.3%,5.7%,48.5%,2.6,6480bbba59b391b3ca0a1961,2%,0,38,CurtisBlaydesRazor,Curtis Blaydes,Male,3,53%,"6'4""",0.2,12%,22%,4,Razor,115.4,"Naperville, United States",1.1,80,https://www.fightstats.xyz/search?q=Curtis Blaydes,45%,88%,78%,1.3,5,Heavyweight,17
Center Octagon,Southpaw,Leg Kicks,Right Jab to Head,No Data,Jabs,Left Straight to Head,No Data,Hooks,Left Leg Kick,No Data,0,0.6,10%,0,UFC,0,0,0,5,0,0,78%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-12/TILL_DARREN_12-10.png,75.9%,63.0%,-25,0,0.6,0.8,0.6,0.7,0,1.6%,0,49%,1.2%,6.3%,0.0%,0.4%,0.0%,6.7%,1.2%,19.8%,1.2%,0,13%,0,77,0,0,0,0,0,0,0,0,48.3%,41.4%,41,2.6,5.3,0-2,1-1,0-1,2.0%,0,51%,0.0%,4.3%,0.0%,27.3%,1.6%,5.9%,0.0%,0.4%,0.0%,32%,31.6%,24%,23.7%,29%,28.9%,8%,8.2%,8%,7.6%,16,0.6,0,0,0,0,0,0,0,0,53.3%,51.2%,16,3.5,6.6,0,1,0.7,0.3,1.2,0,0,0,0,0,0,0,0,75%,100.0%,,0,0.6,2.6,0.6,0.7,1,0.6,0.7,0,0.3,2.4%,1.6%,7.9%,2.0%,6.3%,0,6480bbbb59b391b3ca0a1962,4%,1,26.5,DarrenTillThe Gorilla,Darren Till,Male,0,8%,"6'0""",0.9,19%,44%,5,The Gorilla,82.3,"Liverpool, United Kingdom",1.8,74,https://www.fightstats.xyz/search?q=Darren Till,89%,81%,56%,2.7,5,Middleweight,18
Center Octagon,Switch,Jabs,Right Body Kick,LeftJabHi + RightHookHi + LeftHookHi,Leg Kicks,Right Hook to Head,LeftJabHi + LeftHookHi + RightHookHi,Crosses,Right Leg Kick,RightStraightHi + LeftHookHi + RightHookHi,0,0,36%,0,UFC,0,0,0,2,0,0,45%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3070984.png,71.0%,63.9%,33,0,2.5,3.6,0,0.7,0,5.1%,0,56%,0.0%,10.1%,3.9%,9.6%,0.0%,6.2%,0.6%,2.8%,1.1%,0,18%,0,30,70,4,60,28,36,2,20,0,27.5%,33.4%,-13,3.1,11.1,0-1,0-0,0-1,18.5%,0,44%,1.7%,12.4%,5.1%,0.0%,0.0%,11.2%,0.6%,3.9%,0.6%,34%,33.9%,32%,31.7%,34%,34.4%,0%,0.0%,0%,0.0%,6,0,0,0,0,0,0,0,0,0,39.4%,45.2%,20,6,15.2,0,0,0.7,1.7,1.1,7,1,26,3,13,1,5,0,0%,0.0%,,0,0,0,0,0.6,0,0.8,0.7,0,0.8,0.0%,1.1%,0.0%,0.6%,5.1%,0,6480bbbc59b391b3ca0a1963,1%,0,43.4,DaveyGrantDangerous,Davey Grant,Male,0,6%,"5'8""",1.4,64%,20%,6,Dangerous,135.2,"Bishop Auckland, United Kingdom",3.4,69,https://www.fightstats.xyz/search?q=Davey Grant,93%,36%,80%,4.9,2,Bantamweight,15
Center Octagon,Switch,Jabs,Left Jab to Head,No Data,Hooks,Left Hook to Head,No Data,Leg Kicks,Right Leg Kick,No Data,0,1.4,18%,0,UFC,0,0,0,9,0,0,73%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2020-03/FIGUEIREDO_DEIVESON.png?VersionId=n5u8hh.CukSaDtuz54g_pNs70ak4MFx2,68.5%,62.2%,4,0,0.7,1,1.9,0.3,0,4.3%,0,59%,0.6%,9.6%,2.1%,17.3%,1.9%,0.4%,0.4%,0.2%,0.0%,0,9%,0,106,0,0,0,0,0,0,0,0,52.4%,39.2%,-12,2.5,4.7,4-2,0-0,2-0,3.0%,0,41%,0.0%,6.0%,2.4%,1.1%,0.0%,7.5%,3.4%,6.0%,0.2%,31%,30.7%,31%,30.5%,20%,20.4%,11%,10.6%,8%,7.8%,24,0.5,0,0,0,0,0,0,0,0,60.4%,52.5%,-8,4.1,6.8,0,0.5,0.7,1.9,1.3,0,0,0,0,0,0,0,0,73%,38.1%,,0,1.7,0.5,0.2,0.4,0.9,1.2,0.6,0,0.7,0.2%,0.2%,12.2%,1.3%,19.5%,0,6480bbbc59b391b3ca0a1964,0%,1,34.1,DeivesonFigueiredoDeus da Guerra,Deiveson Figueiredo,Male,6,22%,"5'5""",0.7,47%,49%,3,Deus da Guerra,105.9,"Soure, Brazil",2.6,68,https://www.fightstats.xyz/search?q=Deiveson Figueiredo,77%,53%,51%,3.2,3,Flyweight,21
Center Octagon,Southpaw,Jabs,Left Straight to Head,No Data,Hooks,Right Jab to Head,No Data,Crosses,Left Hook to Head,No Data,0,0,0%,0,UFC,0,1.5,0,2,0,0,100%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-06/67794%252Fprofile-galery%252Fprofile-picture%252FMAIA_DEMIAN_06-12.png?VersionId=null,0%,63.9%,-7,0,0,0,0,0.7,0,0.0%,0,72%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,5.6%,55.6%,0.0%,0,0%,0,17,0,0,0,0,0,0,2,0,16.7%,36.6%,-18,1.1,6.4,0-1,0-0,0-1,0.0%,0,28%,0.0%,11.1%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,22%,22.2%,33%,33.3%,44%,44.4%,0%,0.0%,0%,0.0%,4,1.5,0,0,0,0,0,0,0,0,16.7%,47.7%,-25,1.1,6.4,0,0,1,1.5,1,0,0,3,3,0,1,8,0,0%,10.7%,,0,0,0,1.5,0.6,0,1.5,1,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,1.5,6480bbbd59b391b3ca0a1965,0%,0,11.2,DemianMaia,Demian Maia,Male,2,0%,"6'0""",0.4,28%,32%,11,,36.2,"Sao Paulo, Brazil",2.1,72,https://www.fightstats.xyz/search?q=Demian Maia,100%,72%,68%,2.5,0,Welterweight,28
Center Octagon,Southpaw,Crosses,Left Body Kick,LeftBodyKick + RightJabHi + LeftStraightHi,Jabs,Left Straight to Head,RightJabHi + LeftStraightHi + RightHookHi,Hooks,Right Jab to Head,No Data,0,2.1,30%,0,UFC,0,1,0,6,0,0,58%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-09/67807%252Fprofile-galery%252Fprofile-picture%252FBRUNSON_DEREK_09-04.png,55.8%,63.0%,37,0,1,1.8,0.7,0.7,0,11.0%,0,64%,0.0%,5.2%,0.5%,1.0%,0.0%,4.7%,1.3%,9.2%,0.8%,0,12%,0,73,30,1,20,23,18,2,24,5,51.4%,41.4%,-33,3.4,6.5,2-0,1-0,0-2,0.8%,0,36%,0.3%,2.9%,0.0%,6.8%,0.8%,2.1%,0.0%,0.5%,0.5%,40%,40.0%,47%,47.3%,13%,12.7%,0%,0.0%,0%,0.0%,16,1.4,0,0,0,0,0,0,0,0,61.6%,51.2%,4,6.8,11.1,0,1.7,0.7,1.4,1.2,15,0,10,8,7,1,17,2,96%,35.6%,,0,0,0.3,1,0.7,0,1.7,0.7,0,0,3.1%,0.5%,3.7%,7.1%,37.0%,1,6480bbbd59b391b3ca0a1966,3%,0,40.2,DerekBrunson,Derek Brunson,Male,1,34%,"6'1""",0.5,34%,35%,9,,123.4,"Wilmington, United States",2.1,77,https://www.fightstats.xyz/search?q=Derek Brunson,64%,66%,65%,2.6,4,Middleweight,23
Moving Backwards,Orthodox,Leg Kicks,Right Hook to Head,LeftHighKick + LeftJabHi + RightHookHi,Hooks,Right Uppercut to Head,LeftHookHi + RightHookHi + LeftHookHi + RightHookHi,Jabs,Left Jab to Head,RightHookHi + RightUppercutHi + RightUppercutHi,0,0,13%,0,UFC,0,0.3,0,10,0,0,80%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2560713.png,29.8%,72.4%,-44,0,0.2,0.6,0.7,0.7,0,1.5%,0,25%,1.5%,3.8%,0.0%,9.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0,7%,0,73,0,0,0,0,0,0,0,0,42.3%,41.8%,-23,1.2,2.8,3-4,1-0,1-1,2.3%,0,75%,0.0%,22.9%,0.8%,0.0%,0.0%,5.3%,1.5%,3.8%,0.0%,51%,51.5%,33%,32.7%,16%,15.8%,0%,0.0%,0%,0.0%,20,0,0,0,0,0,0,0,0,0,50.3%,54.8%,-67,2.2,4.3,0,2.4,1,0,0.7,0,0,0,0,0,0,0,0,67%,50.0%,,0.3,1.7,0,1.4,0.8,0.3,2.4,1,0.7,1.7,5.3%,4.6%,1.5%,0.0%,35.9%,0.3,6480bbbd59b391b3ca0a1967,8%,0,16.5,DerrickLewisThe Black Beast,Derrick Lewis,Male,2,30%,"6'3""",0.8,69%,48%,11,The Black Beast,51.7,"New Orleans, United States",1.3,79,https://www.fightstats.xyz/search?q=Derrick Lewis,62%,31%,52%,2.1,7,Heavyweight,26
Moving Backwards,Switch,Leg Kicks,Right Leg Kick,LeftJabHi + RightStraightHi + RightHookHi,Jabs,Right Straight to Head,LeftJabHi + RightStraightHi + LeftJabLo,Hooks,Left Jab to Head,RightLegKick + LeftJabHi + RightStraightHi + LeftJabHi,0,0,16%,0,UFC,0,0,0,2,0,0,54%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-03/cdbd82b0-b482-4dd4-b768-8ffb55c4a5de%252FCRUZ_DOMINICK_12-11.png,61.8%,63.9%,2,0,1.6,2.6,0,0.7,0,2.7%,0,44%,0.0%,9.8%,0.0%,14.3%,2.7%,8.0%,0.0%,1.8%,0.0%,0,30%,0,26,0,0,0,0,0,0,0,0,28.0%,33.4%,29,2.8,9.9,0-1,0-0,0-1,4.5%,0,56%,0.0%,7.1%,3.6%,0.9%,0.0%,22.3%,0.9%,18.8%,2.7%,29%,29.3%,40%,39.7%,22%,21.6%,9%,9.5%,0%,0.0%,6,1.9,0,0,0,0,0,0,0,0,34.9%,45.2%,31,4.4,12.6,0,0,0.7,0,1.1,0,0,0,0,0,0,0,0,76%,14.3%,,0,0,0,4.8,0.6,1,0,0.7,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0,6480bbbe59b391b3ca0a1968,0%,0,32.2,DominickCruzThe Dominator,Dominick Cruz,Male,0,0%,"5'8""",1.5,34%,26%,4,The Dominator,99.9,United States,1.7,68,https://www.fightstats.xyz/search?q=Dominick Cruz,100%,66%,74%,3.2,2,Bantamweight,24
Moving Backwards,Southpaw,Leg Kicks,Left Leg Kick,RightHookHi + LeftHighKick + LeftBodyKick,Hooks,Left Body Kick,RightHookHi + RightJabHi + LeftStraightLo,Crosses,Right Jab to Head,No Data,0,0,28%,0,UFC,0,0,0,3,0,0,46%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4233039.png,75.9%,62.9%,-14,0,1.7,2.2,0,0.8,0,11.8%,0,58%,2.1%,9.0%,4.9%,2.8%,0.0%,23.6%,0.7%,11.1%,2.8%,0,26%,0,36,0,0,0,0,0,0,0,0,32.4%,41.0%,-7,2.5,7.7,0-2,0-0,0-1,0.7%,0,42%,0.0%,2.8%,0.0%,11.1%,7.6%,3.5%,0.0%,0.0%,0.0%,28%,27.9%,30%,29.9%,18%,17.5%,10%,10.4%,14%,14.3%,8,0,0,0,0,0,0,0,0,0,42.9%,52.1%,-21,4.4,10.2,0,0,1,0,1.1,0,0,0,0,0,0,0,0,81%,0%,,0,0,1.4,0.7,0.9,0,2.8,1.1,0,0,1.4%,3.5%,0.7%,0.0%,0.0%,0,6480bbbe59b391b3ca0a1969,4%,0,29.4,DominickReyesThe Devastator,Dominick Reyes,Male,0,0%,"6'4""",2.1,33%,39%,4,The Devastator,92.7,"Apple Valley, United States",2.5,77,https://www.fightstats.xyz/search?q=Dominick Reyes,96%,67%,61%,4.6,3,Light Heavyweight,12
Pressuring,Southpaw,Hooks,Left Straight to Head,LeftHookHi + RightJabHi + LeftStraightHi,Crosses,Left Hook to Head,LeftHookHi + RightJabHi + LeftHookHi,Jabs,Left Leg Kick,RightJabHi + LeftStraightHi + RightHookHi,0,0,23%,0,UFC,0,0,0,6,0,0,65%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-07/DOBER_DREW_07-30.png,59.4%,66.0%,-16,0,0.7,1.1,2.2,0.7,0,5.1%,0,71%,1.4%,13.0%,3.7%,0.9%,0.5%,9.3%,1.4%,15.3%,3.7%,0,12%,0,56,1,0,9,3,4,2,3,0,27.5%,41.7%,-15,2.4,8.7,0-1,1-1,2-1,0.9%,0,29%,0.0%,7.4%,0.5%,6.9%,0.5%,0.9%,0.0%,0.0%,0.0%,54%,53.5%,34%,33.6%,13%,12.8%,0%,0.0%,0%,0.0%,14,0.4,1,0,2,3,4,1,1,0,37.2%,52.9%,-31,4.1,11,0,1.8,1.1,0.4,1.2,11,3,42,13,14,0,37,1,69%,14.3%,,0,0.9,2.2,0.9,0.6,1.3,2.2,1.1,0,0.9,3.7%,3.7%,2.3%,1.4%,17.6%,0,6480bbbf59b391b3ca0a196a,7%,0,28.3,DrewDober,Drew Dober,Male,2,18%,"5'8""",1,48%,42%,12,,88.3,"Omaha, United States",2.4,70,https://www.fightstats.xyz/search?q=Drew Dober,75%,52%,58%,3.3,4,Lightweight,26
Ground-Bottom,Switch,Jabs,Right Straight to Head,No Data,Body Kicks,Left Leg Kick,No Data,Hooks,Left Hook to Head,No Data,0,0,12%,0,UFC,0,2,0,5,0,0,63%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-03/DU_PLESSUS_DRICUS_03-05.png,55.9%,63.0%,24,0,1.3,2.3,1.5,0.7,0,6.0%,0,43%,2.3%,9.8%,0.4%,3.8%,0.0%,10.2%,0.8%,2.6%,0.0%,0,25%,0,51,0,0,0,0,0,0,0,0,38.5%,41.4%,32,2.3,5.9,2-0,3-0,0-0,0.4%,0,57%,0.0%,3.8%,0.4%,3.8%,0.0%,6.0%,0.8%,12.8%,0.4%,39%,38.8%,40%,39.5%,22%,21.7%,0%,0.0%,0%,0.0%,11,1,0,0,0,0,0,0,0,0,49.3%,51.2%,56,5.4,10.9,0,2,0.7,2.9,1.2,0,0,0,0,0,0,0,0,80%,62.5%,,0,0,0,1,0.7,0.5,1.5,0.7,0,0,0.0%,0.0%,1.1%,1.9%,33.1%,2,6480bbbf59b391b3ca0a196b,0%,0,40.4,DricusDu PlessisStillknocks,Dricus du Plessis,Male,1,34%,"6'0""",0.8,40%,41%,2,Stillknocks,123.6,"Welkom, South Africa",1.5,76,https://www.fightstats.xyz/search?q=Dricus du Plessis,66%,60%,59%,2.3,4,Middleweight,19
Center Octagon,Orthodox,Hooks,Right Leg Kick,No Data,Leg Kicks,Left Jab to Head,No Data,Jabs,Right Hook to Body,No Data,0,0,21%,0,UFC,0,0,0,2,0,0,41%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2526299.png,68.2%,66.0%,3,0,0.9,1.3,1.5,0.7,0,0.0%,0,61%,0.0%,7.0%,0.0%,14.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0,38%,0,17,0,1,3,6,5,0,0,1,41.8%,41.7%,-6,1.6,3.9,0-1,0-1,0-0,2.3%,0,39%,2.3%,0.0%,9.3%,0.0%,0.0%,30.2%,0.0%,7.0%,0.0%,60%,59.6%,9%,8.5%,32%,31.9%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,53.5%,52.9%,-3,3.1,5.8,0,0,1.1,0,1.2,0,0,0,0,0,0,0,0,0%,0%,,0,4.4,2.9,1.5,0.6,0,1.5,1.1,0,0,0.0%,0.0%,2.3%,16.3%,7.0%,0,6480bbc059b391b3ca0a196c,0%,0,19.2,EdsonBarboza,Edson Barboza,Male,2,19%,"5'11""",0.7,41%,52%,11,,59.9,"Nova Friburgo, Brazil",1.4,75,https://www.fightstats.xyz/search?q=Edson Barboza,81%,59%,48%,2.1,0,Lightweight,23
Ground-Top,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Right Straight to Head,RightHighKick + LeftHookHi + RightStraightHi,Leg Kicks,Left Leg Kick,LeftHookHi + RightStraightHi + LeftJabHi,0,1.1,7%,0,UFC,0,1.6,0,5,0,0,79%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4350796.png,62.1%,62.2%,9,0,0.9,1.4,0,0.3,0,1.1%,0,68%,0.2%,3.2%,0.0%,15.8%,0.0%,4.1%,0.0%,1.4%,0.0%,0,14%,0,46,0,0,0,0,0,0,0,0,45.8%,39.2%,31,3.2,7,2-0,3-0,0-0,1.6%,0,32%,0.2%,1.8%,0.2%,0.2%,0.0%,2.1%,0.2%,6.7%,0.2%,50%,50.0%,30%,30.3%,20%,19.7%,0%,0.0%,0%,0.0%,11,0.5,0,0,0,0,0,0,0,0,65.5%,52.5%,40,9.6,14.7,0,0.5,0.7,3.3,1.3,0,0,0,0,0,0,0,0,79%,76.9%,,0.5,0,0,0,0.4,0,0,0.6,0,1.1,0.0%,3.9%,2.3%,3.0%,51.6%,1.6,6480bbc159b391b3ca0a196d,4%,0,59.7,ErinBlanchfieldCold Blooded,Erin Blanchfield,Female,4,54%,"5'4""",0.7,18%,34%,1,Cold Blooded,182,United States,2.2,66,https://www.fightstats.xyz/search?q=Erin Blanchfield,42%,82%,66%,2.8,1,Womens Flyweight,11
Ground-Top,Orthodox,Leg Kicks,Left Hook to Head,No Data,Jabs,Left Leg Kick,No Data,Body Kicks,Left Jab to Head,No Data,0,2.4,19%,0,UFC,0,0.8,0,5,0,0,61%,0,0,0,0,0,https://a.espncdn.com/i/headshots/mma/players/full/3933168.png,82.8%,72.4%,-28,0,0.8,0.9,0.8,0.7,0,4.2%,0,57%,0.8%,11.7%,1.7%,7.5%,2.5%,8.3%,0.0%,0.0%,0.0%,0,19%,0,31,0,0,0,0,0,0,0,0,43.2%,41.8%,30,2.1,4.8,4-0,0-0,1-0,0.8%,0,43%,0.0%,3.3%,2.5%,0.8%,0.0%,5.8%,3.3%,0.8%,1.7%,52%,52.2%,18%,18.4%,12%,11.8%,11%,11.0%,7%,6.6%,10,0.8,0,0,0,0,0,0,0,0,60.0%,54.8%,2,4.5,7.6,0,0,1,0,0.7,0,0,0,0,0,0,0,0,55%,100.0%,,0,0,0.8,0.8,0.8,0.8,0,1,0,0,0.0%,10.8%,0.0%,5.0%,28.3%,0.8,6480bbc159b391b3ca0a196e,9%,0,31.5,FrancisNgannouThe Predator,Francis Ngannou,Male,1,28%,"6'4""",1.7,63%,17%,3,The Predator,96.9,"Batie, Cameroon",0.7,83,https://www.fightstats.xyz/search?q=Francis Ngannou,62%,37%,83%,2.4,4,Heavyweight,17
Moving Backwards,Orthodox,Jabs,Left Hook to Head,RightStraightHi + LeftJabHi + LeftHookHi,Hooks,Right Leg Kick,RightStraightHi + LeftJabHi + RightHookHi,Crosses,Right Hook to Head,RightHookHi + LeftJabHi + RightStraightHi,0,0,22%,0,UFC,0,1,0,4,0,0,57%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-11/67978%252Fprofile-galery%252Fprofile-picture%252FEDGAR_FRANKIE_11-06.png,64.9%,63.9%,13,0,0.8,1.2,0,0.7,0,1.6%,0,50%,0.0%,9.3%,2.0%,7.3%,0.4%,2.8%,0.0%,0.0%,0.0%,0,21%,0,48,0,0,0,0,0,0,0,0,27.5%,33.4%,-21,2,7.4,0-1,0-0,1-2,2.0%,0,50%,0.0%,8.1%,2.0%,0.0%,0.0%,8.5%,0.0%,5.3%,2.4%,39%,39.0%,29%,29.1%,15%,15.4%,7%,7.5%,9%,9.1%,11,1.6,0,0,0,0,0,0,0,0,46.2%,45.2%,-8,5.3,11.5,0,0,0.7,0,1.1,0,0,0,0,0,0,0,0,0%,18.9%,,0,0,0,1,0.6,0,1,0.7,0,0,0.4%,0.0%,0.0%,7.3%,40.5%,1,6480bbc259b391b3ca0a196f,0%,1,39,FrankieEdgarThe Answer,Frankie Edgar,Male,3,46%,"5'6""",0.5,58%,29%,11,The Answer,119.9,"Toms River, United States",2.4,68,https://www.fightstats.xyz/search?q=Frankie Edgar,53%,42%,71%,2.9,1,Bantamweight,23
Pressuring,Southpaw,Jabs,Left Straight to Head,RightJabHi + LeftStraightHi + RightJabHi,Crosses,Right Jab to Head,RightHookHi + LeftStraightHi + RightUppercutHi,Hooks,Right Hook to Head,No Data,0,0.2,6%,0,UFC,0,0,0,8,0,0,90%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3111997.png,58.0%,63.9%,-85,0,0.4,0.7,1.2,0.7,0,3.3%,0,60%,1.5%,10.4%,0.2%,0.4%,0.0%,1.5%,0.2%,31.6%,0.0%,0,4%,0,104,0,0,0,0,0,0,0,0,40.0%,36.6%,-37,3.6,8.9,4-2,0-0,1-1,0.4%,0,40%,0.0%,10.8%,0.2%,17.0%,0.2%,2.0%,0.0%,0.7%,0.0%,31%,31.4%,32%,32.4%,27%,27.2%,3%,3.3%,6%,5.6%,23,0,0,0,0,0,0,0,0,0,45.1%,47.7%,-122,4.8,10.6,0,2.2,1,0,1,0,0,0,0,0,0,0,0,95%,20.0%,,0,0.5,0.2,0.2,0.6,0.5,0.5,1,0,0,1.1%,5.7%,1.1%,0.0%,11.5%,0,6480bbc259b391b3ca0a1970,6%,0,32,GeoffNealHandz of Steel,Geoff Neal,Male,1,11%,"5'11""",1.2,30%,22%,5,Handz of Steel,100.8,"Austin, United States",3.6,75,https://www.fightstats.xyz/search?q=Geoff Neal,83%,70%,78%,4.8,7,Welterweight,15
Center Octagon,Orthodox,Jabs,Right Leg Kick,RightHookHi + LeftHookHi + RightStraightHi,Leg Kicks,Left Jab to Head,LeftJabHi + RightStraightHi + LeftHookHi,Crosses,Right Hook to Head,No Data,0,1.4,18%,0,UFC,0,0.8,0,10,0,0,59%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3090197.png,68.5%,63.9%,12,0,0.9,1.3,1,0.7,0,3.2%,0,53%,0.0%,5.6%,0.2%,10.2%,1.1%,2.8%,0.0%,0.0%,0.0%,0,23%,0,125,22,1,31,35,39,1,17,2,38.3%,36.6%,5,1.8,4.7,4-0,1-0,3-2,3.0%,0,47%,0.2%,7.0%,0.2%,0.0%,0.0%,12.1%,0.4%,5.8%,0.2%,36%,35.7%,33%,33.0%,22%,22.0%,7%,6.6%,3%,2.7%,27,0.4,0,0,1,0,2,0,0,0,55.3%,47.7%,17,4.7,8.5,0,0.8,1,1.2,1,11,0,37,25,38,1,15,6,91%,42.9%,,0.2,0.2,0.2,0.8,0.6,0.2,0.2,1,0,0,3.8%,6.4%,0.4%,5.6%,31.8%,0.8,6480bbc359b391b3ca0a1971,9%,0,34.3,GilbertBurnsDurinho,Gilbert Burns,Male,6,34%,"5'10""",0.8,44%,25%,6,Durinho,105.2,"Niterói, Brazil",1.3,71,https://www.fightstats.xyz/search?q=Gilbert Burns,57%,56%,75%,2.1,4,Welterweight,22
