AmericanaWin,AnacondaWin,ArmTriangleWin,BeingClinched,BodyKicksAbsorbed,BulldogWin,CalfSlicerWin,CenterOctagon,CrossesAbsorbed,DEC,DarceWin,EzekielWin,FightsTracked,GogoplataWin,GuillotineWin,HeadKicksAbsorbed,HeelHookWin,HooksAbsorbed,InClinch,JabsAbsorbed,KO,KimuraWin,KneeBarWin,LegKicksAbsorbed,LeglockWin,MinutesTracked,NeckCrankWin,OmoplataWin,OnBottomGround,OnTopGround,OtherSubWin,PushedBackToCage,PushingAgainstCage,RNCWin,RoundsTracked,SUB,StraightArmLockWin,StraightsAbsorbed,SulovStretchWin,TKO,TimesKnockedDown,TimesStunned,TotalBodyKickAttempt,TotalBodyKickMake,TotalCrossAttempt,TotalCrossMake,TotalHeadKickAttempt,TotalHeadKickMake,TotalHookAttempt,TotalHookMake,TotalJabAttempt,TotalJabMake,TotalKnockDowns,TotalLegKickAttempt,TotalLegKickMake,TotalPositionPoints,TotalStraightAttempt,TotalStraightMake,TotalStuns,TotalTDAttempt,TotalTDMake,TotalUppercutAttempt,TotalUppercutMake,TriangleArmBarWin,TriangleWin,TwisterWin,UppercutsAbsorbed,_id,gymCode,gymCountry,gymLoss,gymName,gymState,gymWins,round1StrikesLanded,round2StrikesLanded,round3StrikesLanded,round4StrikesLanded,round5StrikesLanded
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399759020421f7f4a882e7f,AACC,Japan,0,AACC,Tokyo,0,0,0,0,0,0
0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,1,0,78,0,13,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,2,1,15,7,0,0,0,0,174,60,103,36,0,14,7,0,35,24,2,2,0,0,0,0,0,0,5,639977024c6fb5f3e3b6e3f9,CesarGracie,USA,2,Cesar Gracie Jiu Jitsu,California,0,66,55,78,19,35
0,0,0,0,269,0,0,0,5,7,0,0,68,0,0,28,0,724,0,605,5,0,0,438,0,0,0,0,0,0,0,0,0,0,170,5,0,274,0,7,22,29,231,143,21,7,140,24,2086,598,1705,421,19,572,430,0,595,251,21,190,73,133,67,0,0,0,67,63997681eea0f63563b4cd35,ATT,USA,44,American Top Team,Florida,24,1127,767,487,118,115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399797aa4cf86db5673f50d,GlendaleFC,USA,0,Glendale Fighting Club,California,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399781a3c1b78fabadb7660,DagFighter,Russia,0,DagFighter,Makhachkala,0,0,0,0,0,0
0,0,0,0,57,0,0,0,0,5,0,0,18,0,0,7,0,196,0,214,5,0,0,72,0,0,0,0,0,0,0,0,0,0,42,1,0,99,0,3,5,7,62,37,0,0,49,4,824,302,631,160,8,114,89,0,332,109,6,20,4,32,13,0,0,0,32,63997be7c2bdbc3e177b6939,TeamAlphaMale,USA,6,Team Alpha Male,California,12,309,201,208,59,39
0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,40,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,1,1,2,6,4,0,0,3,2,128,34,55,20,3,4,2,0,20,6,2,11,6,14,6,0,0,0,0,639978360b4569c2d5b71c4a,EaglesMMA,Russia,1,Eagles MMA,Moscow,2,51,19,14,15,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639978e37b28251cfdf8faa1,EvolveMMA,Singapore,0,Evolve MMA,,0,0,0,0,0,0
0,0,0,0,12,0,0,0,0,2,0,0,3,0,0,0,0,94,0,62,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,19,0,0,0,1,33,28,0,0,7,3,158,56,112,29,1,81,76,0,20,7,1,12,7,4,4,0,0,0,3,63b258e6fb720c149aa2f82b,TeamRenegade,England,0,Team Renegade,Birmingham,3,42,49,40,38,49
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,1,0,0,15,10,0,0,21,4,54,14,37,13,0,13,11,0,11,6,1,0,0,3,0,0,0,0,1,63b316170d0576b243b0c18f,ValleFlowStriking,USA,1,Valle Flow Striking,Illinois,2,72,59,0,0,0
0,0,0,0,18,0,0,0,0,1,0,0,1,0,0,2,0,38,0,25,0,0,0,32,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,0,1,1,9,7,0,0,2,0,136,42,50,11,0,15,13,0,24,10,0,0,0,6,3,0,0,0,2,63b320e20874e0dd423f082d,KoreanZombieMMA,South Korea,1,Korean Zombie MMA,Seoul,0,15,14,11,13,15
