_id,draw,fighterAge,fighterHeight,fighterLOC,fighterName,fighterReach,fighterURL,loss,weightClass,wins
64445279ca69df223110e420,0,N/A,N/A,N/A,Asjabharan _,N/A,https://www.ufc.com/athlete/asjabharan,0,Bantamweight,0
64445280ca69df223110e421,N/A,N/A,N/A,N/A,Yibugele,N/A,https://www.ufc.com/athlete/yibugele,N/A,N/A,N/A
64445287ca69df223110e422,0,N/A,N/A,"Sukabumi, Indonesia",Angga,N/A,https://www.ufc.com/athlete/angga,1,Featherweight,0
64445291ca69df223110e423,0,N/A,N/A,"Orlando, United States",Danny Abbadi,N/A,https://www.ufc.com/athlete/danny-abbadi,2,Lightweight,2
64445298ca69df223110e424,0,N/A,N/A,Kazakhstan,Nariman Abbassov,N/A,https://www.ufc.com/athlete/nariman-abbassov,1,Lightweight,0
6444529fca69df223110e425,0,N/A,N/A,"Huntington Beach, United States",Tank Abbott,N/A,https://www.ufc.com/athlete/tank-abbott,10,Heavyweight,8
644452aaca69df223110e426,0,30,"6'2""",Egypt,Hamdy Abdelwahab,72.00,https://www.ufc.com/athlete/hamdy-abdelwahab,0,Heavyweight,5
644452b1ca69df223110e427,0,41,"6'3""","Dagestan Republic, Russia",Shamil Abdurakhimov,76.00,https://www.ufc.com/athlete/shamil-abdurakhimov,8,Heavyweight,20
644452b9ca69df223110e428,0,N/A,"5'11""",Japan,Daichi Abe,N/A,https://www.ufc.com/athlete/daichi-abe,1,Welterweight,6
644452c0ca69df223110e429,0,N/A,N/A,N/A,Papy Abedi,N/A,https://www.ufc.com/athlete/papy-abedi,3,Middleweight,9
644452c6ca69df223110e42a,0,30,"6'2""","Manaus, Brazil",Klidson Abreu,74.00,https://www.ufc.com/athlete/klidson-abreu,4,Light Heavyweight,15
644452ceca69df223110e42b,0,38,"5'11""","Dourados, Brazil",Ricardo Abreu,73.00,https://www.ufc.com/athlete/ricardo-abreu,1,Middleweight,5
644452d6ca69df223110e42c,0,N/A,N/A,N/A,John Adajar,N/A,https://www.ufc.com/athlete/john-adajar,1,Welterweight,0
644452deca69df223110e42d,0,31,"6'5""","Houston, United States",Juan Adams,80.00,https://www.ufc.com/athlete/juan-adams,3,Heavyweight,5
644452e6ca69df223110e42e,0,N/A,N/A,"San Luis Obispo, United States",Scott Adams,N/A,https://www.ufc.com/athlete/tenk-ebbott,0,Heavyweight,6
644452eeca69df223110e42f,0,N/A,"6'4""","Philadelphia, United States",Anthony Adams,N/A,https://www.ufc.com/athlete/anthony-adams,2,Middleweight,8
644452fcca69df223110e430,0,30,"5'5""","Samarkand, Uzbekistan",Zarrukh Adashev,65.00,https://www.ufc.com/athlete/zarrukh-adashev,4,Flyweight,4
64445302ca69df223110e431,0,33,"6'4""","Lagos, Nigeria",Israel Adesanya,80.00,https://www.ufc.com/athlete/israel-adesanya,2,Middleweight,24
6444530aca69df223110e432,0,N/A,N/A,United States,Sam Adkins,N/A,https://www.ufc.com/athlete/sam-adkins,0,Light Heavyweight,0
64445310ca69df223110e433,0,N/A,N/A,"Racine, United States",Nick Agallar,N/A,https://www.ufc.com/athlete/nick-agallar,3,Lightweight,12
64445317ca69df223110e434,0,25,"5'6""",Kazakhstan,Mariya Agapova,68.50,https://www.ufc.com/athlete/mariya-agapova,4,"Women's Flyweight",10
6444531eca69df223110e435,0,N/A,N/A,N/A,Fabio Agu,N/A,https://www.ufc.com/athlete/fabio-agu,0,Middleweight,0
64445326ca69df223110e436,0,N/A,N/A,Brazil,Marcello Aguiar,N/A,https://www.ufc.com/athlete/marcello-aguiar,0,Welterweight,0
6444532dca69df223110e437,0,34,"5'7""","Gladewater, United States",Kevin Aguilar,72.00,https://www.ufc.com/athlete/kevin-aguilar,5,Featherweight,17
64445332ca69df223110e438,0,26,"5'4""","Ensenada, Mexico",Jesus Aguilar,62.50,https://www.ufc.com/athlete/jesus-aguilar,2,Flyweight,8
64445337ca69df223110e439,0,40,"5'3""","Houston, United States",Jessica Aguilar,63.00,https://www.ufc.com/athlete/jessica-aguilar,8,"Women's Strawweight",20
6444533dca69df223110e43a,0,31,"5'9""","Whittier, United States",Christian Aguilera,72.00,https://www.ufc.com/athlete/christian-aguilera,8,Welterweight,14
64445344ca69df223110e43b,0,27,"5'9""","Cicero, United States",Nick Aguirre,74.00,https://www.ufc.com/athlete/nick-aguirre,1,Featherweight,7
6444534cca69df223110e43c,0,N/A,N/A,N/A,Ashiek Ajim,N/A,https://www.ufc.com/athlete/ashiek-ajim,1,Bantamweight,0
64445351ca69df223110e43d,1,35,"6'0""","Dagestan Republic, Russia",Omari Akhmedov,73.00,https://www.ufc.com/athlete/omari-akhmedov,6,Middleweight,21
